active,menu_name,plan_variant,base_price,price_mode,shooting_time,location_type,delivery_count,delivery_method,recommendation,location_comment,notes,display_order
1,家族写真,1ヶ所プラン,25000,固定,最大2時間,スタジオ or ロケ撮影,約100枚,データ納品（撮影後お送りするURLからダウンロードしていただきます）,家族の自然な表情とあたたかい空気感を、一枚一枚丁寧に切り取ります。,スタジオまたはロケ撮影から選べます。,撮影場所は1ヶ所。片道30km以上の場合は別途交通費。,10
1,家族写真,2ヶ所プラン,28000,固定,最大2時間,スタジオ + ロケ撮影,約100枚,データ納品（撮影後お送りするURLからダウンロードしていただきます）,スタジオとロケを組み合わせ、表情も背景も存分に引き出します。,スタジオとロケ撮影の2ヶ所で撮影します。,片道30km以上の場合は別途交通費。,11
1,誕生日・入学式・卒業式,1ヶ所プラン,25000,固定,最大2時間,スタジオ or ロケ撮影,約100枚,データ納品（撮影後お送りするURLからダウンロードしていただきます）,その日だけの表情と空気感を、ずっと手元に残る写真でお届けします。,スタジオまたはロケ撮影から選べます。,撮影場所は1ヶ所。片道30km以上の場合は別途交通費。,30
1,誕生日・入学式・卒業式,2ヶ所プラン,28000,固定,最大2時間,スタジオ + ロケ撮影,約100枚,データ納品（撮影後お送りするURLからダウンロードしていただきます）,スタジオとロケを組み合わせ、記念日のストーリーを余すところなく残します。,スタジオとロケ撮影の2ヶ所で撮影します。,片道30km以上の場合は別途交通費。,31
1,プロフィール写真,1ヶ所プラン,25000,固定,最大2時間,スタジオ or ロケ撮影,約100枚,データ納品（撮影後お送りするURLからダウンロードしていただきます）,あなたの人柄と信頼感が伝わるプロフィール写真を、丁寧に仕上げます。,スタジオまたはロケ撮影から選べます。,撮影場所は1ヶ所。片道30km以上の場合は別途交通費。,40
1,プロフィール写真,2ヶ所プラン,28000,固定,最大2時間,スタジオ + ロケ撮影,約100枚,データ納品（撮影後お送りするURLからダウンロードしていただきます）,スタジオとロケ、2つの空気感でバリエーション豊かな一枚をお届けします。,スタジオとロケ撮影の2ヶ所で撮影します。,片道30km以上の場合は別途交通費。,41
1,七五三,スタジオ or ロケ撮影,27000,固定,2時間,スタジオ撮影 or ロケ撮影,約100枚,データ納品（撮影後お送りするURLからダウンロードしていただきます）,晴れ姿とご家族の笑顔を、何年後も見返したくなる一枚に仕上げます。,スタジオまたはロケ撮影から選べます。,片道30km以上の場合は別途交通費。,50
1,七五三,スタジオ + 古い町並み撮影,30000,固定,2時間,スタジオ + 古い町並み撮影,約100枚,データ納品（撮影後お送りするURLからダウンロードしていただきます）,飛騨高山の風情ある町並みを背景に、晴れ姿をより特別な一枚に仕上げます。,スタジオ撮影と古い町並み撮影を組み合わせます。,片道30km以上の場合は別途交通費。,51
1,七五三,スタジオ + 神社撮影,35000,固定,2時間,スタジオ + 神社撮影,約100枚,データ納品（撮影後お送りするURLからダウンロードしていただきます）,神社の凛とした空気の中で、節目の記念を格調ある一枚に残します。,スタジオ撮影と神社撮影を組み合わせます。,片道30km以上の場合は別途交通費。,52
1,成人式,スタジオ → 古い町並み撮影,40000,固定,2時間,スタジオ撮影 → 古い町並み撮影,約100枚,データ納品（撮影後お送りするURLからダウンロードしていただきます）,二十歳の晴れ姿を、スタジオと飛騨の町並みで余すところなく引き出します。,スタジオから古い町並みへ移動して撮影します。,片道30km以上の場合は別途交通費。,60
1,成人式,スタジオ → 神社撮影,45000,固定,2時間,スタジオ撮影 → 神社,約100枚,データ納品（撮影後お送りするURLからダウンロードしていただきます）,成人式の凛とした晴れ姿を、神社の空気感とともに格調高く仕上げます。,スタジオから神社へ移動して撮影します。,片道30km以上の場合は別途交通費。,61
1,結婚式(前撮り),写真 1day,88000,固定,1day（6時間）,スタジオ撮影 + ロケ撮影,要確認,データ納品（撮影後お送りするURLからダウンロードしていただきます）,丸一日ふたりだけの時間をかけて、この先何度も見返したくなる前撮りをお届けします。,studio PARADE片原店とご希望の場所で撮影できます。,片道30km以上の場合は別途交通費。,70
1,結婚式(前撮り),動画のみ 1本,60000,固定,1本,ロケ撮影など,1〜2分動画,データ納品（撮影後お送りするURLからダウンロードしていただきます）,ふたりの空気感と感情を、1〜2分の動画に凝縮してお届けします。,動画は1〜2分に編集してお渡しします。,片道30km以上の場合は別途交通費。,71
1,結婚式(当日),写真撮影 1day,99000,固定,1day（6時間）,各会場,要確認,データ納品（撮影後お送りするURLからダウンロードしていただきます）,一生に一度の瞬間を、見返すたびに胸が熱くなる写真でお届けします。,各会場で撮影します。,規模・内容により変動します。出立ち撮影はオプション。,80
1,結婚式(当日),動画撮影 1day,110000,固定,1day（6時間）,各会場,1分動画 1本,データ納品（撮影後お送りするURLからダウンロードしていただきます）,笑顔、涙、誓いの言葉——当日の感動をそのまま動画として永く残します。,各会場で撮影します。,規模・内容により変動します。出立ち撮影はオプション。,81
1,プロフィール動画,プロフィール動画,35000,固定,2時間,お好きな場所,1分動画 1本,データ納品（撮影後お送りするURLからダウンロードしていただきます）,お好きな場所で、動いて語るあなたの魅力を1分動画に仕上げます。,撮影場所は相談できます。,USBメモリはオプション。,90
1,店舗・商品撮影,物撮り,0,要相談,2時間,商品・店舗など,要相談,データ納品（撮影後お送りするURLからダウンロードしていただきます）,商品の魅力と質感を最大限に引き出し、お客様の購買意欲をそそる一枚に仕上げます。,品数や内容により料金が変動します。,品数で変動します。要相談。,100
